param NumGeneratorCostCurvePieces := 10;
param NumBuses := 24;
set TimePeriod := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24;
set ThermalGenerator := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33;
set SynchronousCondenser := SC15;
set Bus := 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124;
param baseMVA := 100;
set ThermalGeneratorsAtBus[101] := 1     2     3     4;
set ThermalGeneratorsAtBus[102] := 5     6     7     8;
set ThermalGeneratorsAtBus[107] := 9    10    11;
set ThermalGeneratorsAtBus[113] := 12    13   14;
set ThermalGeneratorsAtBus[115] := 16    17    18    19    20    21;
set ThermalGeneratorsAtBus[116] := 22;
set ThermalGeneratorsAtBus[118] := 23;
set ThermalGeneratorsAtBus[121] := 24;
set ThermalGeneratorsAtBus[122] := 25    26    27    28    29    30;
set ThermalGeneratorsAtBus[123] := 31    32    33;
set SynchronousCondensersAtBus[114] := SC15;
param: Bus VmMin VmMax := 
1 0.94 1.06
2 0.94 1.06
3 0.94 1.06
4 0.94 1.06
5 0.94 1.06
6 0.94 1.06
7 0.94 1.06
8 0.94 1.06
9 0.94 1.06
10 0.94 1.06
11 0.94 1.06
12 0.94 1.06
13 0.94 1.06
14 0.94 1.06
15 0.94 1.06
16 0.94 1.06
17 0.94 1.06
18 0.94 1.06
19 0.94 1.06
20 0.94 1.06
21 0.94 1.06
22 0.94 1.06
23 0.94 1.06
24 0.94 1.06;
param NumTimePeriods := 24;
param: ThermalGenerator PowerGeneratedT0 UnitOnT0State MinimumPowerOutput MaximumPowerOutput MinimumUpTime MinimumDownTime NominalRampUpLimit NominalRampDownLimit StartupCapacityLimit ShutdownCapacity := 
1 0.16 1 0.16 0.2 1 1 1.8 1.8 1.8 1.8
2 0.16 1 0.16 0.2 1 1 1.8 1.8 1.8 1.8
3 0.76 8 0.152 0.76 8 4 1.2 1.2 1.2 1.2
4 0.76 8 0.152 0.76 8 4 1.2 1.2 1.2 1.2
5 0.16 1 0.16 0.2 1 1 1.8 1.8 1.8 1.8
6 0.16 1 0.16 0.2 1 1 1.8 1.8 1.8 1.8
7 0.76 8 0.152 0.76 8 4 1.2 1.2 1.2 1.2
8 0.76 8 0.152 0.76 8 4 1.2 1.2 1.2 1.2
9 0.8 8 0.25 1 8 8 4.2 4.2 4.2 4.2
10 0.8 8 0.25 1 8 8 4.2 4.2 4.2 4.2
